Region,PHI,Barangay,Disease,No. of Cases,MW
NCR,City of Manila,Barangay 648,Measles,16,3
NCR,City of Manila,Barangay 647,Measles,3,3
NCR,City of Manila,Barangay 648,Measles,31,4
NCR,City of Manila,Barangay 647,Measles,31,4
IV-A,Quezon,Manggalang-Kiling,Chikungunya,4,4
XI,Davao City,Brgy. 9-A ,Chikungunya,5,4
NCR,Las Piñas,B. F. International Village,Leptospirosis,3,4
XI,Davao City,Sasa,Leptospirosis,3,4
II,Nueva Vizcaya,Magsaysay,SARI,3,4
II,Nueva Vizcaya,Osmeña,SARI,3,4
VIII,Samar,Guinsorongan,SARI,3,4
VIII,Tacloban City,Barangay 74,SARI,3,4
VIII,Tacloban City,Barangay 97,SARI,6,4
VIII,Tacloban City,Barangay 105,SARI,7,4
VIII,Tacloban City,Barangay 93,SARI,5,4
XI,Davao Del Norte,Cebulano,SARI,3,4
XI,Davao City,Buhangin,SARI,4,4
XI,Davao City,Matina Crossing,SARI,4,4
XI,Davao City,Agdao,SARI,3,4
XI,Davao City,Bucana,SARI,3,4
CAR,Mountain Province,Sadsadan,SARI,3,4
CAR,Mountain Province,Poblacion,SARI,3,4
CAR,Mountain Province,Bunga,SARI,3,4
CAR,Benguet,Balili,SARI,3,4
NCR,Quezon City,Payatas,SARI,5,4
NCR,Quezon City,Tatalon,SARI,3,4
NIR,Bacolod City,Singcang-Airport,SARI,3,4
NIR,Bacolod City,Handumanan,SARI,6,4
NIR,Bacolod City,Banago,SARI,3,4
NIR,Bacolod City,Vista Alegre,SARI,3,4
NIR,Bacolod City,Granada,SARI,3,4
NIR,Bacolod City,Pahanocoy,SARI,3,4
NIR,Bacolod City,Cabug,SARI,3,4
VII,Cebu,Gunting,Typhoid,30,5
NCR,City of Manila,Barangay 648,Measles,38,5
NCR,City of Manila,Barangay 647,Measles,4,5
NCR,Quezon City,Damayang Lagi,Diptheria,2,5
IV-A,Quezon,Manggalang-Kiling,Chikungunya,4,5
XI,Davao City,Brgy. 9-A ,Chikungunya,6,5
V,Sorsogon,Tabunan,Leptospirosis,3,5
VII,Cebu City,Basak San Nicolas,Rotavirus,8,5
VII,Cebu,Gunting,Typhoid,33,5
NCR,Taguig City,Central,Influenze-like Illness,74,5
XI,Davao City,Buhangin,SARI,19,5
NIR,Negors Occidental,Washington,Pertussis,2,6
IV-A,Quezon,Manggalang-Kiling,Chikungunya,4,6
X,Misamis Occidental,Katipa,Chikungunya,3,6
XI,Davao City,Brgy. 9-A ,Chikungunya,3,6
II,Nueva Vizcaya,Oyao,Leptospirosis,3,6
V,Sorsogon,Tabunan,Leptospirosis,3,6
IX,Zamboanga City,Mampang,Cholera,3,6
IX,Zamboanga City,San Roque,Cholera,3,6
IV-B,Occidental Mindoro,Batong Buhay,Measles-Rubella,12,7
NIR,Negors Occidental,Washington,Pertussis,2,7
VII,Bohol,Buenaventura,Pertussis,2,7
VII,Bohol,Ubujan,Chikungunya,6,7
X,Misamis Occidental,Katipa,Chikungunya,4,7
NIR,Negors Occidental,Poblacion,Chikungunya,3,7
II,Nueva Vizcaya,Oyao,Leptospirosis,3,7
V,Sorsogon,Tabunan,Leptospirosis,3,7
XI,Davao City,Sasa,Leptospirosis,3,7
IV-A,Laguna,Pacita I,Measles-Rubella,3,8
IV-A,Rizal,Santo Domingo,Measles-Rubella,3,8
IX,Zamboanga City,Curuan,Measles-Rubella,3,8
CAR,Baguio City,Irisan,Pertussis,2,8
VII,Bohol,Buenaventura,Pertussis,2,8
XII,South Cotobato,Talufo,Chikungunya,14,8
VII,Bohol,Ubujan,Chikungunya,5,8
X,Misamis Occidental,Katipa,Chikungunya,3,8
NIR,Negors Oriental,Poblacion,Chikungunya,3,8
IX,Zamboanga City,Mampang,Cholera,4,8
XI,Davao Oriental,Macambol,Cholera,4,8
IV-A,Batangas,Inosloban,SARI,7,8
IV-A,Quezon,Alabat,SARI,7,8
IV-A,Cavite,Buenavista III,Diptheria,3,9
XII,General Santos City,Labangal,Measles-Rubella,5,9
CAR,Baguio City,Irisan,Pertussis,2,9
VII,Bohol,Buenaventura,Pertussis,2,9
NIR,Negros Occidental,Rizal,Pertussis,2,9
XII,South Cotobato,Talufo,Chikungunya,19,9
IV-B,Palawan,Bancao-Bancao,Leptospirosis,3,9
IV-B,Palawan,San Pedro,Leptospirosis,4,9
XI,Davao Oriental,Macambol,Cholera,5,9
IX,Zamboanga City,Baliwasan,Cholera,3,9
IX,Zamboanga City,Mampang,Cholera,3,9
IV-B,Occidental Mindoro,San Agustin,Measles-Rubella,14,10
VII,Bohol,Buenaventura,Pertussis,2,10
XII,South Cotobato,Talufo,Chikungunya,18,10
VI,Iloilo,Bato,Chikungunya,5,10
IV-A,Quezon,Poblacion,Chikungunya,3,10
II,Cagayan,Paddaya,Leptospirosis,4,10
II,Cagayan,Tallang,Leptospirosis,3,10
IV-B,Palawan,Bancao-Bancao,Leptospirosis,3,10
IV-B,Occidental Mindoro,Batong Buhay,Measles-Rubella,7,11
XII,South Cotobato,Talufo,Chikungunya,11,11
VI,Iloilo,Bato,Chikungunya,6,11
IV-A,Quezon,Poblacion,Chikungunya,3,11
IV-B,Palawan,Bancao-Bancao,Leptospirosis,3,11
IV-B,Palawan,San Pedro,Leptospirosis,3,11
II,Cagayan,Bitag Pequeño,Leptospirosis,3,11
IX,Zamboanga City,Calarian,Cholera,4,11
IX,Zamboanga City,Talon-Talon,Cholera,4,11
XI,Davao Oriental,Santiago,Cholera,3,11
XI,Davao Oriental,Macambol,Cholera,5,11
X,Lanao del Norte,Tambo,Measles-Rubella,14,12
XII,South Cotobato,Talufo,Chikungunya,14,12
VI,Iloilo,Bato,Chikungunya,6,12
IV-A,Quezon,Poblacion,Chikungunya,3,12
IX,Zamboanga City,Calarian,Cholera,3,12
IX,Zamboanga City,Talon-Talon,Cholera,5,12
XI,Davao Oriental,Santiago,Cholera,3,12
IV-B,Occidental Mindoro,San Agustin,Measles-Rubella,24,13
I,La Union,Poblacion,Chikungunya,11,13
XI,Davao Oriental,Don Mariano Marcos,Chikungunya,9,13
VII,Bohol,Mansasa,Chikungunya,6,13
XII,South Cotobato,Talufo,Chikungunya,4,13
VIII,Northern Samar,Sabang Zone II,Cholera,3,13
VIII,Ormoc City,Naungan,Cholera,3,13
XI,Davao Oriental,Santiago,Cholera,3,13
BARMM,Kadayangan,Mudseng,Cholera,3,13
X,Lanao del Norte,Tambao,Measles-Rubella,16,14
I,La Union,Poblacion,Chikungunya,30,14
XI,Davao Oriental,Don Mariano Marcos,Chikungunya,15,14
VII,Bohol,Mansasa,Chikungunya,6,14
XII,South Cotobato,Talufo,Chikungunya,4,14
VIII,Northern Samar,Sabang Zone II,Cholera,3,14
IX,Zamboanga City,Santa Catalina,Cholera,3,14
XI,Davao Oriental,Don Mariano Marcos,Chikungunya,37,15
I,La Union,Poblacion,Chikungunya,18,15
VII,Bohol,Mansasa,Chikungunya,5,15
XII,South Cotobato,Talufo,Chikungunya,3,15
NCR,Quezon City,Matandang Balara,Leptospirosis,3,15
XIII,Surigao City,Canlanipa,Leptospirosis,3,15
VIII,Leyte,Gimarco,Cholera,4,15
VIII,Nothern Samar,Balite,Cholera,3,15
IX,Zamboanga City,Santa Catalina,Cholera,4,15
XI,Davao Oriental,Don Mariano Marcos,Chikungunya,33,16
