"Region","PHI","Barangay","Disease","No. of Cases","MW"
"1","ILOCOS NORTE","LACUBEN","Dengue","3","15"
"1","ILOCOS NORTE","PARANGOPONG","Dengue","4","15"
"1","ILOCOS SUR","CALONGBUYAN","Dengue","4","15"
"1","ILOCOS SUR","TALOGTOG","Dengue","3","15"
"1","ILOCOS SUR","CABUGBUGAN","Dengue","3","15"
"1","ILOCOS SUR","PUDOC EAST","Dengue","4","15"
"1","LA UNION","CADAPLI","Dengue","4","15"
"1","LA UNION","BIMMOTOBOT","Dengue","3","15"
"1","LA UNION","DASAY","Dengue","3","15"
"1","LA UNION","GONZALES","Dengue","3","15"
"1","PANGASINAN","PALARIS","Dengue","3","15"
"1","PANGASINAN","RAJAL","Dengue","3","15"
"1","PANGASINAN","SAN MARCELINO","Dengue","3","15"
"1","PANGASINAN","BUED","Dengue","3","15"
"1","PANGASINAN","CAPATAAN","Dengue","5","15"
"1","PANGASINAN","PATAYAC","Dengue","5","15"
"1","PANGASINAN","PIAZ","Dengue","3","15"
"2","CAGAYAN","TAYTAY","Dengue","4","15"
"2","CAGAYAN","BUYUN","Dengue","3","15"
"2","CAGAYAN","MISSION","Dengue","3","15"
"2","CITY OF SANTIAGO","DUBINAN EAST","Dengue","4","15"
"2","CITY OF SANTIAGO","MALVAR","Dengue","3","15"
"2","CITY OF SANTIAGO","ROSARIO","Dengue","4","15"
"2","ISABELA","AURORA","Dengue","3","15"
"2","ISABELA","SAN JUAN (POB.)","Dengue","3","15"
"2","ISABELA","LA PAZ","Dengue","3","15"
"2","ISABELA","TANDUL","Dengue","3","15"
"2","ISABELA","SAN MATEO","Dengue","3","15"
"2","ISABELA","DISTRICT 1 (POB.)","Dengue","3","15"
"2","NUEVA VIZCAYA","SAN ANTONIO NORTH","Dengue","3","15"
"2","NUEVA VIZCAYA","BONFAL PROPER","Dengue","4","15"
"2","NUEVA VIZCAYA","BONFAL WEST","Dengue","3","15"
"2","NUEVA VIZCAYA","DISTRICT III POB. (DON M. PEREZ)","Dengue","3","15"
"2","NUEVA VIZCAYA","DISTRICT IV (POB.)","Dengue","3","15"
"2","NUEVA VIZCAYA","MASOC","Dengue","3","15"
"2","NUEVA VIZCAYA","VISTA ALEGRE (B. BARINGIN)","Dengue","3","15"
"2","NUEVA VIZCAYA","POBLACION (ALLOY)","Dengue","3","15"
"2","NUEVA VIZCAYA","VILLA FLORES","Dengue","5","15"
"2","QUIRINO","RIZAL (POB.)","Dengue","3","15"
"3","ANGELES CITY","ANUNAS","Dengue","3","15"
"3","ANGELES CITY","BALIBAGO","Dengue","6","15"
"3","ANGELES CITY","CUTCUT","Dengue","7","15"
"3","ANGELES CITY","LOURDES NORTH WEST","Dengue","3","15"
"3","ANGELES CITY","MALABAÃAS","Dengue","3","15"
"3","ANGELES CITY","PAMPANG","Dengue","4","15"
"3","ANGELES CITY","PULUNG CACUTUD","Dengue","6","15"
"3","ANGELES CITY","SAN JOSE","Dengue","4","15"
"3","ANGELES CITY","SAPALIBUTAD","Dengue","4","15"
"3","ANGELES CITY","TABUN","Dengue","4","15"
"3","AURORA","PINGIT","Dengue","11","15"
"3","AURORA","BIANOAN","Dengue","3","15"
"3","AURORA","CALANGCUASAN","Dengue","4","15"
"3","AURORA","ESTEVES","Dengue","4","15"
"3","AURORA","MANGGITAHAN","Dengue","3","15"
"3","AURORA","BORLONGAN","Dengue","5","15"
"3","BATAAN","BANAWANG","Dengue","5","15"
"3","BATAAN","CUPANG PROPER","Dengue","4","15"
"3","BATAAN","REFORMISTA","Dengue","3","15"
"3","BATAAN","CAMAYA","Dengue","3","15"
"3","BATAAN","NAGBALAYONG","Dengue","3","15"
"3","BATAAN","POBLACION","Dengue","3","15"
"3","BATAAN","TUGATOG","Dengue","3","15"
"3","BATAAN","GENERAL LIM (KAPUT)","Dengue","5","15"
"3","BATAAN","BAGUMBAYAN","Dengue","4","15"
"3","BATAAN","PANILAO","Dengue","3","15"
"3","BULACAN","NIUGAN","Dengue","3","15"
"3","BULACAN","BOROL 1ST","Dengue","7","15"
"3","BULACAN","PANGINAY","Dengue","5","15"
"3","BULACAN","PULONG GUBAT","Dengue","3","15"
"3","BULACAN","SAN JUAN","Dengue","5","15"
"3","BULACAN","SANTOL","Dengue","5","15"
"3","BULACAN","WAWA (POB.)","Dengue","5","15"
"3","BULACAN","MATANGTUBIG","Dengue","4","15"
"3","BULACAN","PAGALA","Dengue","3","15"
"3","BULACAN","POBLACION","Dengue","7","15"
"3","BULACAN","SABANG","Dengue","8","15"
"3","BULACAN","SANTA BARBARA","Dengue","6","15"
"3","BULACAN","SANTO NIÃO","Dengue","4","15"
"3","BULACAN","TARCAN","Dengue","4","15"
"3","BULACAN","VIRGEN DELAS FLORES","Dengue","6","15"
"3","BULACAN","BATIA","Dengue","9","15"
"3","BULACAN","BUNDUKAN","Dengue","4","15"
"3","BULACAN","DUHAT","Dengue","3","15"
"3","BULACAN","LOLOMBOY","Dengue","4","15"
"3","BULACAN","TAAL","Dengue","9","15"
"3","BULACAN","TAMBOBONG","Dengue","3","15"
"3","BULACAN","TURO","Dengue","8","15"
"3","BULACAN","BAMBANG","Dengue","4","15"
"3","BULACAN","MAYSANTOL","Dengue","3","15"
"3","BULACAN","SAN FRANCISCO","Dengue","3","15"
"3","BULACAN","TIBIG","Dengue","3","15"
"3","BULACAN","CATACTE","Dengue","13","15"
"3","BULACAN","BALUNGAO","Dengue","3","15"
"3","BULACAN","CANIOGAN","Dengue","4","15"
"3","BULACAN","GATBUCA","Dengue","3","15"
"3","BULACAN","IBA O'ESTE","Dengue","6","15"
"3","BULACAN","MEYTO","Dengue","3","15"
"3","BULACAN","PANDUCOT","Dengue","4","15"
"3","BULACAN","PIO CRUZCOSA","Dengue","4","15"
"3","BULACAN","BULIHAN","Dengue","6","15"
"3","BULACAN","LONGOS","Dengue","3","15"
"3","BULACAN","SUMAPANG MATANDA","Dengue","4","15"
"3","BULACAN","TIKAY","Dengue","4","15"
"3","BULACAN","BAGBAGUIN","Dengue","3","15"
"3","BULACAN","CALVARIO","Dengue","3","15"
"3","BULACAN","LAWA","Dengue","4","15"
"3","BULACAN","LIBTONG","Dengue","4","15"
"3","BULACAN","LONGOS","Dengue","4","15"
"3","BULACAN","MALHACAN","Dengue","3","15"
"3","BULACAN","PEREZ","Dengue","5","15"
"3","BULACAN","SALUYSOY","Dengue","3","15"
"3","BULACAN","GAYA-GAYA","Dengue","8","15"
"3","BULACAN","GRACEVILLE","Dengue","3","15"
"3","BULACAN","KAYPIAN","Dengue","7","15"
"3","BULACAN","MINUYAN PROPER","Dengue","4","15"
"3","BULACAN","MUZON","Dengue","20","15"
"3","BULACAN","SAN PEDRO","Dengue","3","15"
"3","BULACAN","SANTO CRISTO","Dengue","6","15"
"3","BULACAN","SAPANG PALAY","Dengue","4","15"
"3","BULACAN","TUNGKONG MANGGA","Dengue","6","15"
"3","BULACAN","CAMACHILE","Dengue","5","15"
"3","BULACAN","MALIS","Dengue","9","15"
"3","BULACAN","SANTA RITA","Dengue","3","15"
"3","BULACAN","SAN SEBASTIAN","Dengue","3","15"
"3","BULACAN","ABANGAN NORTE","Dengue","4","15"
"3","BULACAN","ABANGAN SUR","Dengue","5","15"
"3","BULACAN","LAMBAKIN","Dengue","14","15"
"3","BULACAN","LIAS","Dengue","8","15"
"3","BULACAN","LOMA DE GATO","Dengue","11","15"
"3","BULACAN","PATUBIG","Dengue","3","15"
"3","BULACAN","POBLACION II","Dengue","3","15"
"3","BULACAN","PRENZA II","Dengue","14","15"
"3","BULACAN","SANTA ROSA I","Dengue","3","15"
"3","BULACAN","SANTA ROSA II","Dengue","6","15"
"3","BULACAN","SAOG","Dengue","5","15"
"3","BULACAN","BIGTE","Dengue","7","15"
"3","BULACAN","TIGBE","Dengue","3","15"
"3","BULACAN","PANGHULO","Dengue","3","15"
