"Region","PHI","Barangay","Disease","No. of Cases","MW"
"IV-A","RIZAL","DELA PAZ (POB.)","Influenza-like Illness (ILI)","43","15"
"IV-A","RIZAL","SANTA CRUZ","Influenza-like Illness (ILI)","36","15"
"IV-A","LAGUNA","LANDAYAN","Influenza-like Illness (ILI)","34","15"
"IV-A","LAGUNA","SAN ANTONIO","Influenza-like Illness (ILI)","28","15"
"IV-A","RIZAL","SAN LUIS","Influenza-like Illness (ILI)","26","15"
"IV-A","LAGUNA","LANGGAM","Influenza-like Illness (ILI)","26","15"
"IV-A","RIZAL","SAN ISIDRO (POB.)","Influenza-like Illness (ILI)","25","15"
"IV-A","LAGUNA","PACITA 1","Influenza-like Illness (ILI)","24","15"
"IV-A","RIZAL","BAGONG NAYON","Influenza-like Illness (ILI)","23","15"
"IV-A","LAGUNA","SAN VICENTE","Influenza-like Illness (ILI)","23","15"
"IV-A","LAGUNA","MAMATID","Influenza-like Illness (ILI)","18","15"
"IV-A","RIZAL","INARAWAN","Influenza-like Illness (ILI)","16","15"
"IV-A","RIZAL","MAYAMOT","Influenza-like Illness (ILI)","15","15"
"IV-A","LAGUNA","MAGSAYSAY","Influenza-like Illness (ILI)","15","15"
"IV-A","LAGUNA","LABAS","Influenza-like Illness (ILI)","13","15"
"IV-A","LAGUNA","CAINGIN","Influenza-like Illness (ILI)","13","15"
"IV-A","LAGUNA","SAN FRANCISCO","Influenza-like Illness (ILI)","12","15"
"IV-A","LAGUNA","CUYAB","Influenza-like Illness (ILI)","12","15"
"IV-A","LAGUNA","SINALHAN","Influenza-like Illness (ILI)","12","15"
"IV-A","LAGUNA","BALIBAGO","Influenza-like Illness (ILI)","12","15"
"IV-A","LAGUNA","PULO","Influenza-like Illness (ILI)","11","15"
"IV-A","LAGUNA","UNITED BAYANIHAN","Influenza-like Illness (ILI)","10","15"
"IV-A","LAGUNA","CHRYSANTHEMUM","Influenza-like Illness (ILI)","10","15"
"IV-A","LAGUNA","POOC","Influenza-like Illness (ILI)","10","15"
"IV-A","LAGUNA","KANLURAN","Influenza-like Illness (ILI)","10","15"
"IV-A","LAGUNA","MARINIG","Influenza-like Illness (ILI)","9","15"
"IV-A","LAGUNA","LARAM","Influenza-like Illness (ILI)","9","15"
