"Region","PHI","Barangay","Disease","No. of Cases","MW"
"1","ILOCOS NORTE","PARANGOPONG","Dengue","3","16"
"1","ILOCOS SUR","DINWEDE EAST","Dengue","3","16"
"1","ILOCOS SUR","CALONGBUYAN","Dengue","3","16"
"1","ILOCOS SUR","PARIOC PRIMERO","Dengue","3","16"
"1","ILOCOS SUR","PUDOC EAST","Dengue","3","16"
"1","LA UNION","DULAO","Dengue","3","16"
"1","LA UNION","CADAPLI","Dengue","4","16"
"1","LA UNION","SANTIAGO NORTE","Dengue","3","16"
"1","LA UNION","BIMMOTOBOT","Dengue","3","16"
"1","LA UNION","GONZALES","Dengue","4","16"
"1","PANGASINAN","PALARIS","Dengue","5","16"
"1","PANGASINAN","BUED","Dengue","4","16"
"1","PANGASINAN","CAPATAAN","Dengue","5","16"
"1","PANGASINAN","POBLACION WEST","Dengue","3","16"
"1","PANGASINAN","MALIBONG","Dengue","4","16"
"1","PANGASINAN","PIAZ","Dengue","3","16"
"2","CAGAYAN","GUIDDAM","Dengue","3","16"
"2","CAGAYAN","LIBERTAD","Dengue","3","16"
"2","CAGAYAN","TAYTAY","Dengue","5","16"
"2","CAGAYAN","BUYUN","Dengue","5","16"
"2","CAGAYAN","MISSION","Dengue","3","16"
"2","CAGAYAN","BAGUMBAYAN","Dengue","3","16"
"2","CITY OF SANTIAGO","DUBINAN EAST","Dengue","4","16"
"2","CITY OF SANTIAGO","ROSARIO","Dengue","3","16"
"2","ISABELA","ANGANCASILIAN","Dengue","4","16"
"2","ISABELA","LA PAZ","Dengue","3","16"
"2","ISABELA","TANDUL","Dengue","3","16"
"2","ISABELA","SAN MATEO","Dengue","3","16"
"2","ISABELA","DISTRICT 1 (POB.)","Dengue","3","16"
"2","NUEVA VIZCAYA","BARETBET","Dengue","3","16"
"2","NUEVA VIZCAYA","BONFAL PROPER","Dengue","3","16"
"2","NUEVA VIZCAYA","BONFAL WEST","Dengue","3","16"
"2","NUEVA VIZCAYA","DISTRICT III POB. (DON M. PEREZ)","Dengue","3","16"
"2","NUEVA VIZCAYA","MASOC","Dengue","4","16"
"2","NUEVA VIZCAYA","VILLA FLORES","Dengue","5","16"
"2","NUEVA VIZCAYA","ROXAS","Dengue","3","16"
"3","ANGELES CITY","AMSIC","Dengue","3","16"
"3","ANGELES CITY","ANUNAS","Dengue","3","16"
"3","ANGELES CITY","CUTCUT","Dengue","5","16"
"3","ANGELES CITY","PANDAN","Dengue","3","16"
"3","ANGELES CITY","PULUNG CACUTUD","Dengue","5","16"
"3","ANGELES CITY","SAPALIBUTAD","Dengue","3","16"
"3","ANGELES CITY","TABUN","Dengue","3","16"
"3","AURORA","PINGIT","Dengue","6","16"
"3","AURORA","BARANGAY 6 (POB.)","Dengue","3","16"
"3","AURORA","BORLONGAN","Dengue","5","16"
"3","BATAAN","BANAWANG","Dengue","6","16"
"3","BATAAN","REFORMISTA","Dengue","3","16"
"3","BATAAN","CAMAYA","Dengue","3","16"
"3","BATAAN","NAGBALAYONG","Dengue","3","16"
"3","BATAAN","TUGATOG","Dengue","3","16"
"3","BATAAN","BAGUMBAYAN","Dengue","4","16"
"3","BULACAN","BOROL 1ST","Dengue","8","16"
"3","BULACAN","LONGOS","Dengue","3","16"
"3","BULACAN","PANGINAY","Dengue","5","16"
"3","BULACAN","SANTOL","Dengue","5","16"
"3","BULACAN","WAWA (POB.)","Dengue","6","16"
"3","BULACAN","CALANTIPAY","Dengue","3","16"
"3","BULACAN","MATANGTUBIG","Dengue","5","16"
"3","BULACAN","POBLACION","Dengue","3","16"
"3","BULACAN","SABANG","Dengue","7","16"
"3","BULACAN","SANTA BARBARA","Dengue","5","16"
"3","BULACAN","SANTO NIÑO","Dengue","3","16"
"3","BULACAN","TARCAN","Dengue","3","16"
"3","BULACAN","VIRGEN DELAS FLORES","Dengue","3","16"
"3","BULACAN","BAMBANG","Dengue","3","16"
"3","BULACAN","BATIA","Dengue","8","16"
"3","BULACAN","DUHAT","Dengue","3","16"
"3","BULACAN","LOLOMBOY","Dengue","3","16"
"3","BULACAN","TAAL","Dengue","4","16"
"3","BULACAN","TURO","Dengue","9","16"
"3","BULACAN","BAMBANG","Dengue","4","16"
"3","BULACAN","SAN FRANCISCO","Dengue","5","16"
"3","BULACAN","TIBIG","Dengue","3","16"
"3","BULACAN","CATACTE","Dengue","10","16"
"3","BULACAN","POBLACION","Dengue","4","16"
"3","BULACAN","CANIOGAN","Dengue","3","16"
"3","BULACAN","GATBUCA","Dengue","3","16"
"3","BULACAN","IBA O'ESTE","Dengue","5","16"
"3","BULACAN","PANDUCOT","Dengue","3","16"
"3","BULACAN","PIO CRUZCOSA","Dengue","3","16"
"3","BULACAN","BULIHAN","Dengue","4","16"
"3","BULACAN","MATIMBO","Dengue","4","16"
"3","BULACAN","CALVARIO","Dengue","3","16"
"3","BULACAN","LAWA","Dengue","6","16"
"3","BULACAN","LIBTONG","Dengue","4","16"
"3","BULACAN","LONGOS","Dengue","4","16"
"3","BULACAN","PEREZ","Dengue","3","16"
"3","BULACAN","TUGATOG","Dengue","3","16"
"3","BULACAN","GAYA-GAYA","Dengue","11","16"
"3","BULACAN","GUMAOC WEST","Dengue","3","16"
"3","BULACAN","KAYPIAN","Dengue","4","16"
"3","BULACAN","MINUYAN PROPER","Dengue","3","16"
"3","BULACAN","MUZON","Dengue","24","16"
"3","BULACAN","SANTO CRISTO","Dengue","5","16"
"3","BULACAN","SAPANG PALAY","Dengue","6","16"
"3","BULACAN","TUNGKONG MANGGA","Dengue","5","16"
"3","BULACAN","CAMACHILE","Dengue","3","16"
"3","BULACAN","MALIS","Dengue","5","16"
"3","BULACAN","SANTA RITA","Dengue","4","16"
"3","BULACAN","SAN SEBASTIAN","Dengue","4","16"
"3","BULACAN","LAMBAKIN","Dengue","9","16"
"3","BULACAN","LIAS","Dengue","11","16"
"3","BULACAN","LOMA DE GATO","Dengue","9","16"
"3","BULACAN","PRENZA II","Dengue","12","16"
"3","BULACAN","SAOG","Dengue","5","16"
"3","BULACAN","BIGTE","Dengue","4","16"
"3","BULACAN","TIGBE","Dengue","3","16"
"3","BULACAN","MALIBONG MATANDA","Dengue","3","16"
"3","BULACAN","MAPULANG LUPA","Dengue","3","16"
"3","BULACAN","PINAGKUARTELAN","Dengue","6","16"
"3","BULACAN","POBLACION","Dengue","6","16"
"3","BULACAN","SILING BATA","Dengue","4","16"
"3","BULACAN","SAN JOSE","Dengue","5","16"
"3","BULACAN","SAN VICENTE","Dengue","3","16"
"3","BULACAN","SANTO ROSARIO","Dengue","4","16"
"3","BULACAN","BANGA II","Dengue","3","16"
"3","BULACAN","LUMANG BAYAN","Dengue","4","16"
"3","BULACAN","SANTO NIÑO","Dengue","3","16"
"3","BULACAN","SIPAT","Dengue","3","16"
"3","BULACAN","TABANG","Dengue","8","16"
"3","BULACAN","BALATONG B","Dengue","3","16"
"3","BULACAN","POBLACION","Dengue","3","16"
"3","BULACAN","TIBAG","Dengue","5","16"
"3","BULACAN","BASUIT","Dengue","4","16"
"3","BULACAN","MAASIM","Dengue","6","16"
"3","BULACAN","BANTOG","Dengue","11","16"
"3","BULACAN","CALUMPANG","Dengue","3","16"
"3","BULACAN","CAMBIO","Dengue","6","16"
"3","BULACAN","CAMIAS","Dengue","3","16"
"3","BULACAN","SAPANG","Dengue","3","16"
"3","BULACAN","SIBUL","Dengue","5","16"
"3","BULACAN","CAINGIN","Dengue","5","16"
"3","BULACAN","CAPIHAN","Dengue","4","16"
"3","BULACAN","MAGUINAO","Dengue","5","16"
"3","BULACAN","PINACPINACAN","Dengue","3","16"
"3","BULACAN","TAMBUBONG","Dengue","6","16"
"3","BULACAN","ULINGAO","Dengue","5","16"
"3","BULACAN","CAMANGYANAN","Dengue","6","16"
"3","BULACAN","CAY POMBO","Dengue","8","16"
"3","BULACAN","CAYSIO","Dengue","9","16"
