"Region","PHI","Barangay","Disease","No. of Cases","MW"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","BOGANGA","Leptospirosis","2","16"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","DILAUSAN","Leptospirosis","2","16"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","MAGUINDANAO DEL NORTE","ROSARY HEIGHTS X","Leptospirosis","2","16"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","MAGUINDANAO DEL NORTE","MAKING","Leptospirosis","2","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","POBLACION EAST","Leptospirosis","4","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","ZUMIGUI","Leptospirosis","2","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","VIRAC","Leptospirosis","2","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","POBLACION","Leptospirosis","2","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","POBLACION","Leptospirosis","2","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","MOUNTAIN PROVINCE","MAYAG","Leptospirosis","2","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","MOUNTAIN PROVINCE","BUTAC","Leptospirosis","2","16"
"MIMAROPA REGION","CITY OF PUERTO PRINCESA","IRAWAN","Leptospirosis","2","16"
"MIMAROPA REGION","CITY OF PUERTO PRINCESA","SIMPOCAN","Leptospirosis","2","16"
"MIMAROPA REGION","OCCIDENTAL MINDORO","MALPALON","Leptospirosis","2","16"
"MIMAROPA REGION","OCCIDENTAL MINDORO","POYPOY","Leptospirosis","2","16"
"MIMAROPA REGION","OCCIDENTAL MINDORO","TANYAG","Leptospirosis","2","16"
"MIMAROPA REGION","ORIENTAL MINDORO","TABON-TABON","Leptospirosis","2","16"
"MIMAROPA REGION","ORIENTAL MINDORO","BACUNGAN","Leptospirosis","4","16"
"MIMAROPA REGION","ORIENTAL MINDORO","BANCURO","Leptospirosis","2","16"
"MIMAROPA REGION","ORIENTAL MINDORO","BUHANGIN","Leptospirosis","6","16"
"MIMAROPA REGION","ORIENTAL MINDORO","DAO","Leptospirosis","3","16"
"MIMAROPA REGION","ORIENTAL MINDORO","GAMAO","Leptospirosis","4","16"
"MIMAROPA REGION","ORIENTAL MINDORO","MALINAO","Leptospirosis","3","16"
"MIMAROPA REGION","ORIENTAL MINDORO","MULAWIN","Leptospirosis","5","16"
"MIMAROPA REGION","ORIENTAL MINDORO","PINAGSABANGAN II","Leptospirosis","3","16"
"MIMAROPA REGION","ORIENTAL MINDORO","SANTIAGO","Leptospirosis","3","16"
"MIMAROPA REGION","ORIENTAL MINDORO","PAHILAHAN","Leptospirosis","2","16"
"MIMAROPA REGION","ORIENTAL MINDORO","SAN ISIDRO","Leptospirosis","2","16"
"MIMAROPA REGION","PALAWAN","ALCOBA","Leptospirosis","8","16"
"MIMAROPA REGION","PALAWAN","NARRA","Leptospirosis","3","16"
"MIMAROPA REGION","PALAWAN","IRAAN","Leptospirosis","4","16"
"MIMAROPA REGION","PALAWAN","BARANGAY 1","Leptospirosis","2","16"
"MIMAROPA REGION","PALAWAN","BARANGAY III","Leptospirosis","2","16"
"MIMAROPA REGION","PALAWAN","BARANGAY IV","Leptospirosis","5","16"
"MIMAROPA REGION","PALAWAN","MAGARA","Leptospirosis","4","16"
"MIMAROPA REGION","PALAWAN","NEW BARBACAN","Leptospirosis","4","16"
"MIMAROPA REGION","PALAWAN","CARURAY","Leptospirosis","3","16"
"MIMAROPA REGION","PALAWAN","NEW AGUTAYA","Leptospirosis","2","16"
"MIMAROPA REGION","ROMBLON","POBLACION","Leptospirosis","3","16"
"MIMAROPA REGION","ROMBLON","CAPACLAN","Leptospirosis","2","16"
"MIMAROPA REGION","ROMBLON","MAPULA","Leptospirosis","2","16"
"MIMAROPA REGION","ROMBLON","ESPAÑA","Leptospirosis","3","16"
"MIMAROPA REGION","ROMBLON","OTOD","Leptospirosis","2","16"
"MIMAROPA REGION","ROMBLON","BUSAY","Leptospirosis","3","16"
"MIMAROPA REGION","ROMBLON","COMBOT","Leptospirosis","2","16"
"MIMAROPA REGION","ROMBLON","PINAMIHAGAN","Leptospirosis","3","16"
"MIMAROPA REGION","ROMBLON","POBLACION","Leptospirosis","2","16"
"MIMAROPA REGION","ROMBLON","PANDAN","Leptospirosis","2","16"
"MIMAROPA REGION","ROMBLON","POBLACION","Leptospirosis","2","16"
"NATIONAL CAPITAL REGION (NCR)","CITY OF CALOOCAN","BARANGAY 177","Leptospirosis","3","16"
"NATIONAL CAPITAL REGION (NCR)","CITY OF MUNTINLUPA","PUTATAN","Leptospirosis","5","16"
"NATIONAL CAPITAL REGION (NCR)","CITY OF MUNTINLUPA","TUNASAN","Leptospirosis","2","16"
"NATIONAL CAPITAL REGION (NCR)","CITY OF PASIG","PINAGBUHATAN","Leptospirosis","2","16"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","BAGUMBAYAN","Leptospirosis","2","16"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","CALZADA","Leptospirosis","3","16"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","LIGID-TIPAS","Leptospirosis","3","16"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","LOWER BICUTAN","Leptospirosis","2","16"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","NORTH DAANG HARI","Leptospirosis","3","16"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","SOUTH DAANG HARI","Leptospirosis","2","16"
"NATIONAL CAPITAL REGION (NCR)","QUEZON CITY","COMMONWEALTH","Leptospirosis","2","16"
"NATIONAL CAPITAL REGION (NCR)","QUEZON CITY","GULOD","Leptospirosis","3","16"
"NATIONAL CAPITAL REGION (NCR)","QUEZON CITY","PASONG TAMO","Leptospirosis","3","16"
"NATIONAL CAPITAL REGION (NCR)","QUEZON CITY","PAYATAS","Leptospirosis","4","16"
"NATIONAL CAPITAL REGION (NCR)","QUEZON CITY","TANDANG SORA","Leptospirosis","2","16"
"NEGROS ISLAND REGION (NIR)","CITY OF BACOLOD","CABUG","Leptospirosis","2","16"
"NEGROS ISLAND REGION (NIR)","CITY OF BACOLOD","TANGUB","Leptospirosis","3","16"
"NEGROS ISLAND REGION (NIR)","NEGROS OCCIDENTAL","GUILJUNGAN","Leptospirosis","2","16"
"NEGROS ISLAND REGION (NIR)","NEGROS OCCIDENTAL","POBLACION","Leptospirosis","3","16"
"NEGROS ISLAND REGION (NIR)","NEGROS OCCIDENTAL","ALIANZA","Leptospirosis","2","16"
