"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","Nueva Vizcaya","Lantap","Rotavirus","3","16"
"2","Nueva Vizcaya","Bagahabag","Rotavirus","3","16"
"3","Pampanga","Del Pilar","Rotavirus","3","16"
"3","Pampanga","San Pedro","Rotavirus","3","16"
"6","Bacolod City","Banago","Rotavirus","4","16"
"6","Bacolod City","Barangay 35","Rotavirus","4","16"
"6","Bacolod City","Bata","Rotavirus","3","16"
"6","Bacolod City","Granada","Rotavirus","3","16"
"6","Bacolod City","Singcang-Airport","Rotavirus","4","16"
"6","Bacolod City","Sum-Ag","Rotavirus","3","16"
"7","Cebu City","Basak San Nicolas","Rotavirus","5","16"
"7","Cebu City","Guadalupe","Rotavirus","5","16"
"7","Cebu City","Inayawan","Rotavirus","4","16"
"7","Cebu City","Mambaling","Rotavirus","6","16"
"7","Cebu City","Quiot Pardo","Rotavirus","3","16"
"8","Biliran","Atipolo","Rotavirus","3","16"
"8","Biliran","Borac","Rotavirus","3","16"
"8","Biliran","Haguikhikan","Rotavirus","3","16"
"8","Leyte","Abanilla","Rotavirus","3","16"
"8","Leyte","Linao","Rotavirus","5","16"
"8","Northern Samar","Caglanipao","Rotavirus","3","16"
"8","Samar (Western Samar)","Bunuanan","Rotavirus","3","16"
"8","Samar (Western Samar)","Canlapwas","Rotavirus","5","16"
"8","Samar (Western Samar)","Darahuway Daco","Rotavirus","5","16"
"8","Samar (Western Samar)","Poblacion 9","Rotavirus","4","16"
"8","Tacloban City","Barangay 62-A","Rotavirus","3","16"
"9","Zamboanga City","Calarian","Rotavirus","4","16"
"9","Zamboanga City","Rio Hondo","Rotavirus","3","16"
"4A","Quezon","Cagbalete I","Rotavirus","7","16"
"4A","Quezon","Cagsiay I","Rotavirus","8","16"
"4A","Quezon","San Lorenzo","Rotavirus","5","16"
"BARMM","Cotabato City","Kalanganan","Rotavirus","6","16"
"BARMM","Cotabato City","Kalanganan Ii","Rotavirus","3","16"
"BARMM","Cotabato City","Rosary Heights X","Rotavirus","4","16"
"BARMM","Maguindanao","Maslabeng","Rotavirus","3","16"
"BARMM","Maguindanao","Poblacion","Rotavirus","4","16"
"BARMM","Maguindanao","Dalican Poblacion","Rotavirus","7","16"
