"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","CAGAYAN","FUGA ISLAND","Measles-Rubella","27","23"
"10","BUKIDNON","POBLACION","Measles-Rubella","2","23"
"10","CAGAYAN DE ORO CITY","GUSA","Measles-Rubella","2","23"
"10","CAGAYAN DE ORO CITY","MACASANDIG","Measles-Rubella","2","23"
"10","LANAO DEL NORTE","BACAYAWAN","Measles-Rubella","2","23"
"10","LANAO DEL NORTE","MATAMPAY","Measles-Rubella","2","23"
"10","LANAO DEL NORTE","OLD POBLACION","Measles-Rubella","2","23"
"10","LANAO DEL NORTE","PINDOLONAN","Measles-Rubella","2","23"
"10","LANAO DEL NORTE","SANDIGAMUNAI","Measles-Rubella","3","23"
"11","DAVAO DE ORO","POBLACION","Measles-Rubella","2","23"
"11","DAVAO DEL NORTE","MANIKI (POBLACION)","Measles-Rubella","2","23"
"4A","CAVITE","TALABA 1","Measles-Rubella","2","23"
"4A","CAVITE","BUKAL","Measles-Rubella","2","23"
"4A","LAGUNA","LANGKIWA","Measles-Rubella","2","23"
"4A","LAGUNA","MAGSAYSAY","Measles-Rubella","2","23"
"4A","RIZAL","MAYAMOT","Measles-Rubella","2","23"
"4A","RIZAL","SANTA CRUZ","Measles-Rubella","2","23"
"4B","OCCIDENTAL MINDORO","POYPOY","Measles-Rubella","2","23"
"4B","PALAWAN","CAGUISAN","Measles-Rubella","4","23"
"BARMM","LANAO DEL SUR","MACAO","Measles-Rubella","2","23"
"BARMM","LANAO DEL SUR","LOMIDONG","Measles-Rubella","2","23"
"NCR","CITY OF MANILA","BARANGAY 20","Measles-Rubella","2","23"
"NCR","CITY OF MANILA","BARANGAY 649","Measles-Rubella","4","23"
