"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","Isabela","Old Centro I","Typhoid Fever","3","23"
"2","Nueva Vizcaya","Pao","Typhoid Fever","3","23"
"2","Nueva Vizcaya","Pudi","Typhoid Fever","4","23"
"8","Samar (Western Samar)","Can-Aponte","Typhoid Fever","4","23"
"9","Zamboanga Del Sur","Balangasan (Pob.)","Typhoid Fever","4","23"
"9","Zamboanga Del Sur","Kawit","Typhoid Fever","3","23"
"9","Zamboanga Del Sur","Tiguma","Typhoid Fever","3","23"
"10","Bukidnon","Kahapunan","Typhoid Fever","3","23"
"10","Bukidnon","Lumbo","Typhoid Fever","3","23"
"10","Bukidnon","Mt. Nebo","Typhoid Fever","5","23"
"10","Bukidnon","Poblacion","Typhoid Fever","5","23"
"10","Bukidnon","Poblacion","Typhoid Fever","3","23"
"10","Bukidnon","Dagumba-An","Typhoid Fever","3","23"
"10","Bukidnon","North Poblacion","Typhoid Fever","3","23"
"10","Bukidnon","Panadtalan","Typhoid Fever","4","23"
"10","Bukidnon","South Poblacion","Typhoid Fever","3","23"
"10","Bukidnon","Bacusanon","Typhoid Fever","4","23"
"10","Bukidnon","Pigtauranan","Typhoid Fever","3","23"
"10","Bukidnon","Poblacion (Kiokong)","Typhoid Fever","3","23"
"10","Bukidnon","Halapitan (Pob.)","Typhoid Fever","5","23"
"10","Cagayan De Oro City","Patag","Typhoid Fever","6","23"
"4B","Palawan","Punta Baja","Typhoid Fever","3","23"
"4B","Palawan","Barangay Iii (Pob.)","Typhoid Fever","4","23"
"4B","Romblon","Tabobo-An","Typhoid Fever","3","23"
"BARMM","Maguindanao","Lower Idtig","Typhoid Fever","3","23"
"BARMM","Sulu","Poblacion (Campo Baro)","Typhoid Fever","3","23"
"BARMM","Tawi-Tawi","Liyubud","Typhoid Fever","4","23"
"CAR","Benguet","Loo","Typhoid Fever","7","23"
"CAR","Benguet","Tawangan","Typhoid Fever","3","23"
"CAR","Ifugao","Bangbang","Typhoid Fever","4","23"
"CAR","Ifugao","Bokiawan","Typhoid Fever","3","23"
"CAR","Ifugao","Hapao","Typhoid Fever","11","23"
"CAR","Ifugao","Poblacion","Typhoid Fever","5","23"
"CAR","Ifugao","Tinoc","Typhoid Fever","3","23"
"CARAGA","Agusan Del Sur","Patin-Ay","Typhoid Fever","3","23"
"CARAGA","Agusan Del Sur","Poblacion (Bahbah)","Typhoid Fever","3","23"
"NIR","Negros Occidental","Bantayan","Typhoid Fever","6","23"
"NIR","Negros Occidental","Tabugon","Typhoid Fever","5","23"
"NIR","Negros Occidental","Tapi","Typhoid Fever","3","23"
