"Region","PHI","Barangay","Disease","No. of Cases","MW"
"1","DAGUPAN CITY","BONUAN BOQUIG","Hand, Foot, and Mouth Disease","3","6"
"1","DAGUPAN CITY","BONUAN GUESET","Hand, Foot, and Mouth Disease","4","6"
"1","ILOCOS NORTE","PASNGAL","Hand, Foot, and Mouth Disease","2","6"
"1","ILOCOS NORTE","SUNGADAN","Hand, Foot, and Mouth Disease","2","6"
"1","ILOCOS NORTE","MANARANG","Hand, Foot, and Mouth Disease","2","6"
"1","ILOCOS SUR","TAMURONG PRIMERO","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","CONSOLACION (POB.)","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","MACALVA SUR","Hand, Foot, and Mouth Disease","3","6"
"1","LA UNION","SAN JOAQUIN NORTE","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","SANTA FE","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","SANTA MARIA","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","SANTA LUCIA","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","QUIRINO","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","AGPAY","Hand, Foot, and Mouth Disease","9","6"
"1","LA UNION","GANA","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","CAMANSI","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","CATBANGEN","Hand, Foot, and Mouth Disease","8","6"
"1","LA UNION","LINGSAT","Hand, Foot, and Mouth Disease","3","6"
"1","LA UNION","MADAYEGDEG","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","SAN VICENTE","Hand, Foot, and Mouth Disease","3","6"
"1","LA UNION","VICTORIA (POB.)","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","LIOAC NORTE","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","AMBANGONAN","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","CARES","Hand, Foot, and Mouth Disease","4","6"
"1","LA UNION","ALIPANG","Hand, Foot, and Mouth Disease","5","6"
"1","LA UNION","CONCEPCION","Hand, Foot, and Mouth Disease","3","6"
"1","LA UNION","NANGCAMOTIAN","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","SUBUSUB","Hand, Foot, and Mouth Disease","3","6"
"1","LA UNION","TAY-AC","Hand, Foot, and Mouth Disease","3","6"
"1","LA UNION","VILA","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","PATAC","Hand, Foot, and Mouth Disease","2","6"
"1","LA UNION","MANGAAN","Hand, Foot, and Mouth Disease","13","6"
"1","LA UNION","POBLACION","Hand, Foot, and Mouth Disease","3","6"
"1","LA UNION","FRANCIA SUR","Hand, Foot, and Mouth Disease","2","6"
"1","PANGASINAN","ESMERALDA","Hand, Foot, and Mouth Disease","4","6"
"1","PANGASINAN","POBLACION","Hand, Foot, and Mouth Disease","6","6"
"1","PANGASINAN","SAN AURELIO 1ST","Hand, Foot, and Mouth Disease","2","6"
"1","PANGASINAN","SAN AURELIO 2ND","Hand, Foot, and Mouth Disease","5","6"
"1","PANGASINAN","SAN LEON","Hand, Foot, and Mouth Disease","2","6"
"1","PANGASINAN","SAN SIMON","Hand, Foot, and Mouth Disease","2","6"
"1","PANGASINAN","SAN ISIDRO NORTE","Hand, Foot, and Mouth Disease","2","6"
"1","PANGASINAN","AMANDIEGO","Hand, Foot, and Mouth Disease","2","6"
"1","PANGASINAN","INERANGAN","Hand, Foot, and Mouth Disease","2","6"
"1","PANGASINAN","PALAMIS","Hand, Foot, and Mouth Disease","6","6"
"1","PANGASINAN","POLO","Hand, Foot, and Mouth Disease","2","6"
"1","PANGASINAN","TANAYTAY","Hand, Foot, and Mouth Disease","2","6"
"1","PANGASINAN","MABANOGBOG","Hand, Foot, and Mouth Disease","3","6"
"1","PANGASINAN","NANCAMALIRAN WEST","Hand, Foot, and Mouth Disease","2","6"
"1","PANGASINAN","EGUIA","Hand, Foot, and Mouth Disease","3","6"
"1","PANGASINAN","POBLACION","Hand, Foot, and Mouth Disease","3","6"
"1","PANGASINAN","PUGARO","Hand, Foot, and Mouth Disease","5","6"
"1","PANGASINAN","CARMAY EAST","Hand, Foot, and Mouth Disease","3","6"
"1","PANGASINAN","MAGALLANES","Hand, Foot, and Mouth Disease","2","6"
"2","CAGAYAN","MAURA","Hand, Foot, and Mouth Disease","5","6"
"2","CAGAYAN","CENTRO 11 (POB.)","Hand, Foot, and Mouth Disease","4","6"
"2","CAGAYAN","UGAC NORTE","Hand, Foot, and Mouth Disease","2","6"
"2","CITY OF SANTIAGO","ABRA","Hand, Foot, and Mouth Disease","9","6"
"2","CITY OF SANTIAGO","CABULAY","Hand, Foot, and Mouth Disease","2","6"
"2","CITY OF SANTIAGO","RIZAL","Hand, Foot, and Mouth Disease","3","6"
"2","ISABELA","SEVILLANA","Hand, Foot, and Mouth Disease","3","6"
"2","ISABELA","VILLALUZ","Hand, Foot, and Mouth Disease","2","6"
"2","ISABELA","MABANTAD","Hand, Foot, and Mouth Disease","3","6"
"2","ISABELA","MINANGA","Hand, Foot, and Mouth Disease","2","6"
"2","ISABELA","MARASAT PEQUEÃO","Hand, Foot, and Mouth Disease","2","6"
"2","NUEVA VIZCAYA","LUBLUB (POB.)","Hand, Foot, and Mouth Disease","7","6"
"2","NUEVA VIZCAYA","DULLI","Hand, Foot, and Mouth Disease","2","6"
"2","NUEVA VIZCAYA","POBLACION","Hand, Foot, and Mouth Disease","4","6"
"2","NUEVA VIZCAYA","SALINGSINGAN","Hand, Foot, and Mouth Disease","3","6"
"2","NUEVA VIZCAYA","TIBLAC","Hand, Foot, and Mouth Disease","13","6"
"2","NUEVA VIZCAYA","BETI","Hand, Foot, and Mouth Disease","8","6"
"2","NUEVA VIZCAYA","BONE NORTH","Hand, Foot, and Mouth Disease","2","6"
"2","NUEVA VIZCAYA","POBLACION","Hand, Foot, and Mouth Disease","3","6"
"2","NUEVA VIZCAYA","BANGGOT (POB.)","Hand, Foot, and Mouth Disease","2","6"
"2","NUEVA VIZCAYA","DISTRICT IV (POB.)","Hand, Foot, and Mouth Disease","2","6"
"2","NUEVA VIZCAYA","DON TOMAS MADDELA POB. (DISTRICT II)","Hand, Foot, and Mouth Disease","2","6"
"2","NUEVA VIZCAYA","LA TORRE NORTH","Hand, Foot, and Mouth Disease","2","6"
"2","NUEVA VIZCAYA","VISTA ALEGRE (B. BARINGIN)","Hand, Foot, and Mouth Disease","2","6"
"2","NUEVA VIZCAYA","BULIWAO","Hand, Foot, and Mouth Disease","2","6"
"2","NUEVA VIZCAYA","RUNRUNO","Hand, Foot, and Mouth Disease","2","6"
"2","QUIRINO","DUMABATO SUR","Hand, Foot, and Mouth Disease","2","6"
"2","QUIRINO","VILLA HERMOSA SUR","Hand, Foot, and Mouth Disease","3","6"
"3","ANGELES CITY","AMSIC","Hand, Foot, and Mouth Disease","5","6"
"3","ANGELES CITY","ANUNAS","Hand, Foot, and Mouth Disease","2","6"
"3","ANGELES CITY","BALIBAGO","Hand, Foot, and Mouth Disease","8","6"
"3","ANGELES CITY","CUAYAN","Hand, Foot, and Mouth Disease","3","6"
"3","ANGELES CITY","CUTCUT","Hand, Foot, and Mouth Disease","3","6"
"3","ANGELES CITY","CUTUD","Hand, Foot, and Mouth Disease","7","6"
"3","ANGELES CITY","LOURDES NORTH WEST","Hand, Foot, and Mouth Disease","16","6"
"3","ANGELES CITY","LOURDES SUR","Hand, Foot, and Mouth Disease","4","6"
"3","ANGELES CITY","LOURDES SUR EAST","Hand, Foot, and Mouth Disease","3","6"
"3","ANGELES CITY","MALABAÃAS","Hand, Foot, and Mouth Disease","6","6"
"3","ANGELES CITY","MARGOT","Hand, Foot, and Mouth Disease","3","6"
"3","ANGELES CITY","MINING","Hand, Foot, and Mouth Disease","4","6"
"3","ANGELES CITY","PAMPANG","Hand, Foot, and Mouth Disease","4","6"
"3","ANGELES CITY","PANDAN","Hand, Foot, and Mouth Disease","2","6"
"3","ANGELES CITY","PULUNG CACUTUD","Hand, Foot, and Mouth Disease","10","6"
"3","ANGELES CITY","SAPALIBUTAD","Hand, Foot, and Mouth Disease","2","6"
"3","ANGELES CITY","SAPANGBATO","Hand, Foot, and Mouth Disease","3","6"
"3","AURORA","CABOG (MATAWE)","Hand, Foot, and Mouth Disease","2","6"
"3","AURORA","IBONA","Hand, Foot, and Mouth Disease","3","6"
"3","AURORA","PALTIC","Hand, Foot, and Mouth Disease","2","6"
"3","BATAAN","NAPARING","Hand, Foot, and Mouth Disease","2","6"
"3","BATAAN","SAN SIMON","Hand, Foot, and Mouth Disease","3","6"
"3","BATAAN","BASECO COUNTRY (NASSCO)","Hand, Foot, and Mouth Disease","3","6"
"3","BULACAN","BINAGBAG","Hand, Foot, and Mouth Disease","2","6"
