"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","Nueva Vizcaya","Masoc","Rotavirus","3","15"
"3","Pampanga","San Pedro","Rotavirus","3","15"
"6","Bacolod City","Banago","Rotavirus","3","15"
"6","Bacolod City","Barangay 35","Rotavirus","4","15"
"6","Bacolod City","Singcang-Airport","Rotavirus","3","15"
"6","Bacolod City","Sum-Ag","Rotavirus","3","15"
"6","Bacolod City","Taculing","Rotavirus","3","15"
"7","Cebu City","Basak San Nicolas","Rotavirus","6","15"
"7","Cebu City","Inayawan","Rotavirus","4","15"
"7","Cebu City","Mambaling","Rotavirus","7","15"
"8","Biliran","Burabod","Rotavirus","3","15"
"8","Biliran","Magbangon","Rotavirus","3","15"
"8","Leyte","Linao","Rotavirus","3","15"
"8","Northern Samar","Caglanipao","Rotavirus","3","15"
"8","Samar (Western Samar)","Bunuanan","Rotavirus","4","15"
"8","Samar (Western Samar)","Canlapwas","Rotavirus","5","15"
"8","Samar (Western Samar)","Poblacion 9","Rotavirus","4","15"
"8","Tacloban City","Barangay 62-A","Rotavirus","3","15"
"9","Zamboanga City","Calarian","Rotavirus","3","15"
"9","Zamboanga City","Tulungatung","Rotavirus","5","15"
"4A","Laguna","San Antonio","Rotavirus","3","15"
"4A","Quezon","Cagbalete I","Rotavirus","3","15"
"4A","Quezon","Cagsiay I","Rotavirus","5","15"
"4A","Quezon","Daungan","Rotavirus","4","15"
"4A","Quezon","Sadsaran","Rotavirus","3","15"
"4A","Quezon","San Lorenzo","Rotavirus","7","15"
"4B","Puerto Princesa City","San Miguel","Rotavirus","3","15"
"4B","Puerto Princesa City","Sicsican","Rotavirus","3","15"
"4B","Puerto Princesa City","Tagburos","Rotavirus","3","15"
"BARMM","Cotabato City","Kalanganan","Rotavirus","7","15"
"BARMM","Cotabato City","Kalanganan Ii","Rotavirus","4","15"
"BARMM","Cotabato City","Poblacion","Rotavirus","3","15"
"BARMM","Maguindanao","Poblacion","Rotavirus","6","15"
"NCR","City Of Manila","Barangay 128","Rotavirus","3","15"
