"Region","PHI","Barangay","Disease","No. of Cases","MW"
"BARMM","MAGUINDANAO DEL SUR","MALATIMON","Influenza-like Illness (ILI)","26","16"
"BARMM","MAGUINDANAO DEL NORTE","KALANGANAN","Influenza-like Illness (ILI)","17","16"
"BARMM","TAWI-TAWI","LAMION","Influenza-like Illness (ILI)","10","16"
"BARMM","MAGUINDANAO DEL NORTE","DALICAN POBLACION","Influenza-like Illness (ILI)","10","16"
"BARMM","MAGUINDANAO DEL SUR","KAKAL","Influenza-like Illness (ILI)","8","16"
"BARMM","MAGUINDANAO DEL NORTE","ROSARY HEIGHTS III","Influenza-like Illness (ILI)","8","16"
"BARMM","MAGUINDANAO DEL NORTE","BAGUA","Influenza-like Illness (ILI)","8","16"
"BARMM","MAGUINDANAO DEL NORTE","BAGUA II","Influenza-like Illness (ILI)","7","16"
"BARMM","MAGUINDANAO DEL NORTE","AWANG","Influenza-like Illness (ILI)","7","16"
"BARMM","TAWI-TAWI","TUBIG-MAMPALLAM","Influenza-like Illness (ILI)","6","16"
"BARMM","MAGUINDANAO DEL NORTE","ROSARY HEIGHTS","Influenza-like Illness (ILI)","6","16"
"BARMM","MAGUINDANAO DEL NORTE","POBLACION","Influenza-like Illness (ILI)","6","16"
"BARMM","MAGUINDANAO DEL NORTE","BAGUA III","Influenza-like Illness (ILI)","6","16"
"BARMM","MAGUINDANAO DEL NORTE","POBLACION VII","Influenza-like Illness (ILI)","6","16"
"BARMM","MAGUINDANAO DEL NORTE","MAKIR","Influenza-like Illness (ILI)","6","16"
"BARMM","TAWI-TAWI","TUBIG TANAH","Influenza-like Illness (ILI)","5","16"
"BARMM","MAGUINDANAO DEL NORTE","BAGUA I","Influenza-like Illness (ILI)","5","16"
"BARMM","MAGUINDANAO DEL NORTE","ROSARY HEIGHTS X","Influenza-like Illness (ILI)","5","16"
"BARMM","MAGUINDANAO DEL NORTE","POBLACION VI","Influenza-like Illness (ILI)","5","16"
"BARMM","MAGUINDANAO DEL NORTE","POBLACION IX","Influenza-like Illness (ILI)","5","16"
"BARMM","MAGUINDANAO DEL NORTE","POBLACION V","Influenza-like Illness (ILI)","5","16"
"BARMM","MAGUINDANAO DEL SUR","TALAYAN","Influenza-like Illness (ILI)","5","16"
"BARMM","TAWI-TAWI","TUBIG-BOH","Influenza-like Illness (ILI)","4","16"
"BARMM","TAWI-TAWI","PAG-ASA","Influenza-like Illness (ILI)","4","16"
"BARMM","MAGUINDANAO DEL NORTE","ROSARY HEIGHTS VII","Influenza-like Illness (ILI)","4","16"
"BARMM","MAGUINDANAO DEL NORTE","ROSARY HEIGHTS VIII","Influenza-like Illness (ILI)","4","16"
"BARMM","MAGUINDANAO DEL NORTE","ROSARY HEIGHTS I","Influenza-like Illness (ILI)","4","16"
"BARMM","MAGUINDANAO DEL NORTE","POBLACION I","Influenza-like Illness (ILI)","4","16"
"BARMM","BASILAN","SANTA CLARA","Influenza-like Illness (ILI)","4","16"
"BARMM","TAWI-TAWI","SANGA-SANGA","Influenza-like Illness (ILI)","3","16"
"BARMM","TAWI-TAWI","TUBIG BASAG","Influenza-like Illness (ILI)","3","16"
"BARMM","TAWI-TAWI","SIMANDAGIT","Influenza-like Illness (ILI)","3","16"
"BARMM","MAGUINDANAO DEL SUR","POBLACION","Influenza-like Illness (ILI)","3","16"
"BARMM","MAGUINDANAO DEL NORTE","ROSARY HEIGHTS XI","Influenza-like Illness (ILI)","3","16"
"BARMM","MAGUINDANAO DEL NORTE","ROSARY HEIGHTS II","Influenza-like Illness (ILI)","3","16"
"BARMM","MAGUINDANAO DEL NORTE","KALANGANAN II","Influenza-like Illness (ILI)","3","16"
"BARMM","MAGUINDANAO DEL NORTE","TAMONTAKA","Influenza-like Illness (ILI)","3","16"
"BARMM","MAGUINDANAO DEL NORTE","ROSARY HEIGHTS XII","Influenza-like Illness (ILI)","3","16"
"BARMM","MAGUINDANAO DEL SUR","KALIPAPA","Influenza-like Illness (ILI)","3","16"
"BARMM","MAGUINDANAO DEL SUR","BUAYAN","Influenza-like Illness (ILI)","3","16"
"BARMM","MAGUINDANAO DEL NORTE","TUMAGUINTING","Influenza-like Illness (ILI)","3","16"
"BARMM","MAGUINDANAO DEL SUR","MALANGIT","Influenza-like Illness (ILI)","3","16"
"BARMM","MAGUINDANAO DEL NORTE","POBLACION","Influenza-like Illness (ILI)","3","16"
