"Region","PHI","Barangay","Disease","No. of Cases","MW"
"IV-A","QUEZON","CAMAGONG","Severe Acute Respiratory Infection (SARI)","5","16"
"IV-A","QUEZON","VILLA VICTORIA","Severe Acute Respiratory Infection (SARI)","3","16"
"IV-A","QUEZON","BARANGAY 4","Severe Acute Respiratory Infection (SARI)","3","16"
"IV-A","QUEZON","BARANGAY 3","Severe Acute Respiratory Infection (SARI)","4","16"
"IV-A","BATANGAS","INOSLOBAN","Severe Acute Respiratory Infection (SARI)","4","16"
"IV-A","BATANGAS","MARAUOY","Severe Acute Respiratory Infection (SARI)","4","16"
"IV-A","BATANGAS","SAN VICENTE","Severe Acute Respiratory Infection (SARI)","3","16"
"IV-A","BATANGAS","DARASA","Severe Acute Respiratory Infection (SARI)","3","16"
"IV-A","QUEZON","BAGUIO","Severe Acute Respiratory Infection (SARI)","3","16"
"IV-A","QUEZON","CALIMPAK","Severe Acute Respiratory Infection (SARI)","4","16"
"IV-A","QUEZON","MANLAYO","Severe Acute Respiratory Infection (SARI)","4","16"
"IV-A","QUEZON","MANGGAGAWA","Severe Acute Respiratory Infection (SARI)","3","16"
"IV-A","LAGUNA","CALIOS","Severe Acute Respiratory Infection (SARI)","3","16"
