"Region","PHI","Barangay","Disease","No. of Cases","MW"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","BASILAN","BULANTING","Hand, Foot, and Mouth Disease","2","19"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","NAVARRO","Hand, Foot, and Mouth Disease","2","19"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","TUCA","Hand, Foot, and Mouth Disease","2","19"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","POBLACION","Hand, Foot, and Mouth Disease","2","19"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","MAGUINDANAO DEL NORTE","POBLACION","Hand, Foot, and Mouth Disease","4","19"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","SULU","BUS-BUS","Hand, Foot, and Mouth Disease","2","19"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","ALLIG","Hand, Foot, and Mouth Disease","2","19"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","POBLACION","Hand, Foot, and Mouth Disease","2","19"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","CAPANNIKIAN","Hand, Foot, and Mouth Disease","2","19"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","BAROCBOC","Hand, Foot, and Mouth Disease","8","19"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","KAYAPA","Hand, Foot, and Mouth Disease","2","19"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","CITY OF BAGUIO","BAKAKENG CENTRAL","Hand, Foot, and Mouth Disease","2","19"
"MIMAROPA REGION","MARINDUQUE","SIBUYAO","Hand, Foot, and Mouth Disease","2","19"
"MIMAROPA REGION","MARINDUQUE","TIGWI","Hand, Foot, and Mouth Disease","2","19"
"MIMAROPA REGION","OCCIDENTAL MINDORO","LUMANGBAYAN","Hand, Foot, and Mouth Disease","2","19"
"MIMAROPA REGION","OCCIDENTAL MINDORO","MALPALON","Hand, Foot, and Mouth Disease","3","19"
"MIMAROPA REGION","OCCIDENTAL MINDORO","NEW DAGUPAN","Hand, Foot, and Mouth Disease","5","19"
"MIMAROPA REGION","OCCIDENTAL MINDORO","POBLACION","Hand, Foot, and Mouth Disease","4","19"
"MIMAROPA REGION","OCCIDENTAL MINDORO","TAYAMAAN","Hand, Foot, and Mouth Disease","3","19"
"MIMAROPA REGION","OCCIDENTAL MINDORO","CASAGUE","Hand, Foot, and Mouth Disease","2","19"
"MIMAROPA REGION","ORIENTAL MINDORO","AURORA","Hand, Foot, and Mouth Disease","5","19"
"MIMAROPA REGION","ORIENTAL MINDORO","BARCENAGA","Hand, Foot, and Mouth Disease","3","19"
"MIMAROPA REGION","ORIENTAL MINDORO","BUHANGIN","Hand, Foot, and Mouth Disease","4","19"
"MIMAROPA REGION","ORIENTAL MINDORO","MASAGANA","Hand, Foot, and Mouth Disease","2","19"
"MIMAROPA REGION","ORIENTAL MINDORO","MELGAR B","Hand, Foot, and Mouth Disease","2","19"
"MIMAROPA REGION","ORIENTAL MINDORO","MOTODERAZO","Hand, Foot, and Mouth Disease","4","19"
"MIMAROPA REGION","ORIENTAL MINDORO","NAG-IBA II","Hand, Foot, and Mouth Disease","4","19"
"MIMAROPA REGION","ORIENTAL MINDORO","PIÑAHAN","Hand, Foot, and Mouth Disease","5","19"
"MIMAROPA REGION","ORIENTAL MINDORO","POBLACION III","Hand, Foot, and Mouth Disease","3","19"
"MIMAROPA REGION","ORIENTAL MINDORO","SAN PEDRO","Hand, Foot, and Mouth Disease","5","19"
"MIMAROPA REGION","ORIENTAL MINDORO","BATUHAN","Hand, Foot, and Mouth Disease","2","19"
"MIMAROPA REGION","PALAWAN","INDALAWAN","Hand, Foot, and Mouth Disease","3","19"
"MIMAROPA REGION","PALAWAN","BALDAT","Hand, Foot, and Mouth Disease","2","19"
"MIMAROPA REGION","PALAWAN","CATADMAN","Hand, Foot, and Mouth Disease","2","19"
