"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","CAGAYAN","FUGA ISLAND","Measles-Rubella","2","19"
"2","ISABELA","BARANGAY II (POB.)","Measles-Rubella","2","19"
"3","BULACAN","SAN JOSE (POB.)","Measles-Rubella","2","19"
"3","BULACAN","LANGKA","Measles-Rubella","2","19"
"3","BULACAN","MALHACAN","Measles-Rubella","2","19"
"3","BULACAN","CITRUS","Measles-Rubella","2","19"
"3","BULACAN","BUBULONG MUNTI","Measles-Rubella","2","19"
"9","ZAMBOANGA CITY","RECODO","Measles-Rubella","3","19"
"9","ZAMBOANGA DEL NORTE","NASIBAC","Measles-Rubella","13","19"
"9","ZAMBOANGA DEL SUR","BALANGASAN (POB.)","Measles-Rubella","2","19"
"9","ZAMBOANGA DEL SUR","SUGBAY DOS","Measles-Rubella","2","19"
"10","ILIGAN CITY","SARAY-TIBANGA","Measles-Rubella","2","19"
"10","LANAO DEL NORTE","OLD POBLACION","Measles-Rubella","4","19"
"10","LANAO DEL NORTE","MAMA-ANON","Measles-Rubella","3","19"
"10","MISAMIS OCCIDENTAL","MAMANGA DAKU","Measles-Rubella","2","19"
"11","DAVAO DEL NORTE","SOUTHERN DAVAO","Measles-Rubella","2","19"
"12","SOUTH COTABATO","GENERAL PAULINO SANTOS (BO. 1)","Measles-Rubella","2","19"
"12","SULTAN KUDARAT","ALA","Measles-Rubella","2","19"
"4A","CAVITE","SANTIAGO","Measles-Rubella","2","19"
"4A","QUEZON","TALISOY (POB.)","Measles-Rubella","2","19"
"4A","RIZAL","SAN ISIDRO (POB.)","Measles-Rubella","3","19"
"4A","RIZAL","SAN JOSE (POB.)","Measles-Rubella","3","19"
"4A","RIZAL","SAN LUIS","Measles-Rubella","3","19"
"4B","OCCIDENTAL MINDORO","POYPOY","Measles-Rubella","13","19"
"4B","OCCIDENTAL MINDORO","BUENAVISTA","Measles-Rubella","2","19"
"4B","OCCIDENTAL MINDORO","LIGAYA","Measles-Rubella","4","19"
"BARMM","LANAO DEL SUR","MARAWI POBLACION","Measles-Rubella","2","19"
"NCR","CITY OF MANDALUYONG","ADDITION HILLS","Measles-Rubella","2","19"
"NCR","CITY OF MANILA","BARANGAY 105","Measles-Rubella","3","19"
"NCR","CITY OF MANILA","BARANGAY 18","Measles-Rubella","2","19"
"NCR","CITY OF MANILA","BARANGAY 20","Measles-Rubella","5","19"
