"Region","PHI","Barangay","Disease","No. of Cases","MW"
"1","ILOCOS SUR","MANUEVA","Dengue","4","20"
"1","ILOCOS SUR","SACUYYA NORTE","Dengue","3","20"
"1","LA UNION","CADAPLI","Dengue","3","20"
"1","LA UNION","PALINTUCANG","Dengue","4","20"
"1","LA UNION","PARIAN","Dengue","3","20"
"1","LA UNION","AL-ALINAO SUR","Dengue","3","20"
"1","LA UNION","MANGAAN","Dengue","5","20"
"1","LA UNION","OLD CENTRAL","Dengue","3","20"
"1","PANGASINAN","CALEPAAN","Dengue","4","20"
"1","PANGASINAN","SOBOL","Dengue","3","20"
"1","PANGASINAN","TOBOY","Dengue","11","20"
"1","PANGASINAN","SAN PABLO","Dengue","3","20"
"1","PANGASINAN","MONA","Dengue","4","20"
"1","PANGASINAN","SAN JUAN","Dengue","5","20"
"1","PANGASINAN","SAN VICENTE","Dengue","3","20"
"2","CAGAYAN","TAYTAY","Dengue","9","20"
"2","CAGAYAN","CALAOAGAN DACKEL","Dengue","3","20"
"2","CAGAYAN","ARIDAWEN","Dengue","4","20"
"2","CAGAYAN","BUYUN","Dengue","3","20"
"2","CAGAYAN","IRAGA","Dengue","4","20"
"2","ISABELA","ANGANCASILIAN","Dengue","5","20"
"2","ISABELA","CENTRO - SAN ANTONIO","Dengue","3","20"
"2","ISABELA","SAN MATEO","Dengue","3","20"
"2","ISABELA","BURGOS","Dengue","3","20"
"2","ISABELA","MALALINTA","Dengue","3","20"
"2","ISABELA","BARANGAY IV (POB.)","Dengue","3","20"
"2","QUIRINO","VICTORIA","Dengue","4","20"
"3","ANGELES CITY","MALABAÑAS","Dengue","3","20"
"3","ANGELES CITY","SANTO CRISTO","Dengue","3","20"
"3","BATAAN","PANTALAN LUMA (POB.)","Dengue","3","20"
"3","BATAAN","GENERAL LIM (KAPUT)","Dengue","6","20"
"3","BULACAN","MARUNGKO","Dengue","3","20"
"3","BULACAN","PULONG GUBAT","Dengue","4","20"
"3","BULACAN","SANTOL","Dengue","4","20"
"3","BULACAN","WAWA (POB.)","Dengue","3","20"
"3","BULACAN","BAGONG NAYON","Dengue","6","20"
"3","BULACAN","CATULINAN","Dengue","3","20"
"3","BULACAN","PAGALA","Dengue","4","20"
"3","BULACAN","POBLACION","Dengue","4","20"
"3","BULACAN","SANTA BARBARA","Dengue","6","20"
"3","BULACAN","BAMBANG","Dengue","8","20"
"3","BULACAN","BATIA","Dengue","6","20"
"3","BULACAN","DUHAT","Dengue","4","20"
"3","BULACAN","BAMBANG","Dengue","5","20"
"3","BULACAN","CANIOGAN","Dengue","3","20"
"3","BULACAN","LONGOS","Dengue","3","20"
"3","BULACAN","TIKAY","Dengue","3","20"
"3","BULACAN","GAYA-GAYA","Dengue","8","20"
"3","BULACAN","GRACEVILLE","Dengue","9","20"
"3","BULACAN","GUMAOC WEST","Dengue","3","20"
"3","BULACAN","MINUYAN III","Dengue","3","20"
"3","BULACAN","MINUYAN PROPER","Dengue","5","20"
"3","BULACAN","MUZON","Dengue","13","20"
"3","BULACAN","SANTA CRUZ V","Dengue","3","20"
"3","BULACAN","MALIS","Dengue","3","20"
"3","BULACAN","SAN SEBASTIAN","Dengue","5","20"
"3","BULACAN","SANTA MONICA","Dengue","3","20"
"3","BULACAN","LAMBAKIN","Dengue","4","20"
"3","BULACAN","LIAS","Dengue","3","20"
"3","BULACAN","LOMA DE GATO","Dengue","9","20"
"3","BULACAN","PRENZA II","Dengue","3","20"
"3","BULACAN","SANTA ROSA I","Dengue","3","20"
"3","BULACAN","BIGTE","Dengue","6","20"
"3","BULACAN","BITUNGOL","Dengue","5","20"
"3","BULACAN","TIGBE","Dengue","5","20"
"3","BULACAN","BUNSURAN I","Dengue","3","20"
"3","BULACAN","PINAGKUARTELAN","Dengue","4","20"
"3","BULACAN","SAN ROQUE","Dengue","5","20"
"3","BULACAN","SANTO ROSARIO","Dengue","6","20"
"3","BULACAN","BINTOG","Dengue","3","20"
"3","BULACAN","SIPAT","Dengue","3","20"
"3","BULACAN","TABANG","Dengue","6","20"
"3","BULACAN","BALATONG B","Dengue","4","20"
"3","BULACAN","TAAL","Dengue","3","20"
"3","BULACAN","TIBAG","Dengue","4","20"
"3","BULACAN","PALAPALA","Dengue","6","20"
"3","BULACAN","SAPANG PUTIK","Dengue","4","20"
"3","BULACAN","BIAK-NA-BATO","Dengue","4","20"
"3","BULACAN","BULIRAN","Dengue","3","20"
"3","BULACAN","CALUMPANG","Dengue","7","20"
"3","BULACAN","CAMBIO","Dengue","3","20"
"3","BULACAN","PARTIDA","Dengue","5","20"
"3","BULACAN","PINAMBARAN","Dengue","3","20"
"3","BULACAN","SACDALAN","Dengue","3","20"
"3","BULACAN","SIBUL","Dengue","8","20"
"3","BULACAN","CAINGIN","Dengue","3","20"
"3","BULACAN","CORAL NA BATO","Dengue","3","20"
"3","BULACAN","DILIMAN I","Dengue","3","20"
"3","BULACAN","SAN ROQUE","Dengue","6","20"
"3","BULACAN","TUKOD","Dengue","3","20"
"3","BULACAN","BAGBAGUIN","Dengue","3","20"
"3","BULACAN","CATMON","Dengue","3","20"
"3","BULACAN","CAY POMBO","Dengue","12","20"
"3","BULACAN","GUYONG","Dengue","6","20"
"3","BULACAN","MAG-ASAWANG SAPA","Dengue","4","20"
"3","BULACAN","PULONG BUHANGIN","Dengue","6","20"
"3","BULACAN","SAN JOSE PATAG","Dengue","3","20"
"3","BULACAN","SAN VICENTE","Dengue","9","20"
"3","BULACAN","SANTA CLARA","Dengue","3","20"
"3","BULACAN","SANTA CRUZ","Dengue","4","20"
"3","NUEVA ECIJA","SAN ROQUE","Dengue","4","20"
"3","NUEVA ECIJA","BAGO","Dengue","3","20"
"3","NUEVA ECIJA","NAZARETH","Dengue","7","20"
"3","OLONGAPO CITY","GORDON HEIGHTS","Dengue","3","20"
"3","PAMPANGA","SAN ISIDRO","Dengue","3","20"
"3","PAMPANGA","ALASAS","Dengue","3","20"
"3","PAMPANGA","DOLORES","Dengue","3","20"
"3","PAMPANGA","SAN AGUSTIN","Dengue","4","20"
"3","PAMPANGA","SAN RAFAEL (DUCK ISLAND)","Dengue","4","20"
"3","PAMPANGA","SANTA INES","Dengue","3","20"
"3","PAMPANGA","SANTA URSULA","Dengue","6","20"
"3","PAMPANGA","SAN MATIAS","Dengue","8","20"
"3","PAMPANGA","SAN ROQUE DAU","Dengue","3","20"
"3","PAMPANGA","SANTIAGO","Dengue","5","20"
"3","PAMPANGA","CAMACHILES","Dengue","4","20"
"3","PAMPANGA","DAPDAP","Dengue","4","20"
"3","PAMPANGA","SAN FRANCISO","Dengue","4","20"
"3","PAMPANGA","SANTA CRUZ (POB.)","Dengue","5","20"
"3","PAMPANGA","SAPANG KAWAYAN","Dengue","3","20"
"3","PAMPANGA","PANDACAQUI","Dengue","5","20"
"3","PAMPANGA","CALZADANG BAYU","Dengue","4","20"
"3","PAMPANGA","CAMIAS","Dengue","3","20"
"3","PAMPANGA","PULONG SANTOL","Dengue","5","20"
"3","PAMPANGA","SAN JOSE","Dengue","4","20"
"3","PAMPANGA","CONCEPCION","Dengue","4","20"
"3","PAMPANGA","SANTA MARIA","Dengue","3","20"
"3","PAMPANGA","SANTA MONICA","Dengue","3","20"
"3","TARLAC","ANUPUL","Dengue","3","20"
"3","TARLAC","O'DONNELL","Dengue","3","20"
"3","TARLAC","SANTA LUCIA","Dengue","5","20"
"3","TARLAC","BALINGCANAWAY","Dengue","4","20"
"3","TARLAC","MAPALACSIAO","Dengue","4","20"
"3","TARLAC","SAN JOSE","Dengue","3","20"
"3","TARLAC","SANTIAGO","Dengue","3","20"
"3","TARLAC","LOMBOY","Dengue","3","20"
"3","TARLAC","MAYANG","Dengue","3","20"
"3","TARLAC","PALACPALAC","Dengue","3","20"
"5","CAMARINES NORTE","BANOCBOC","Dengue","3","20"
"5","CAMARINES SUR","CAPUCNASAN","Dengue","3","20"
"6","AKLAN","BATUAN","Dengue","4","20"
"6","AKLAN","CATICLAN","Dengue","6","20"
"6","AKLAN","MANOC-MANOC","Dengue","4","20"
"6","ANTIQUE","BAYO GRANDE","Dengue","3","20"
"6","ANTIQUE","IPIL","Dengue","4","20"
"6","ANTIQUE","IGBALANGAO","Dengue","3","20"
"6","ANTIQUE","LACAYON","Dengue","3","20"
"6","ANTIQUE","BUHANG","Dengue","10","20"
"6","ANTIQUE","INABASAN","Dengue","3","20"
"6","ANTIQUE","PIAPI I","Dengue","4","20"
"6","ANTIQUE","LINDERO","Dengue","3","20"
"6","ANTIQUE","BADIANG","Dengue","3","20"
"6","ANTIQUE","FUNDA-DALIPE","Dengue","3","20"
"6","ANTIQUE","MAYBATO NORTE","Dengue","3","20"
"6","ANTIQUE","IGUIRINDON","Dengue","4","20"
"6","ANTIQUE","ABIERA","Dengue","11","20"
"6","ANTIQUE","BACALAN","Dengue","3","20"
"6","ANTIQUE","POBLACION","Dengue","5","20"
"6","ANTIQUE","DISTRICT III (POB.)","Dengue","4","20"
"6","ANTIQUE","DISTRICT IV (POB.)","Dengue","5","20"
"6","ANTIQUE","IGDAGMAY","Dengue","4","20"
"6","ANTIQUE","PIS-ANAN","Dengue","10","20"
"6","ANTIQUE","SAN FRANCISCO NORTE","Dengue","3","20"
"6","ANTIQUE","IGLINAB","Dengue","3","20"
"6","ANTIQUE","IGMASANDIG","Dengue","3","20"
"6","ANTIQUE","SAN AGUSTIN","Dengue","5","20"
"6","ANTIQUE","TAKAS (POB.)","Dengue","9","20"
