"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","Cagayan","Amunitan","Acute Bloody Diarrhea (ABD)","3","23"
"2","Cagayan","Matalao","Acute Bloody Diarrhea (ABD)","3","23"
"2","Isabela","Anao","Acute Bloody Diarrhea (ABD)","3","23"
"2","Nueva Vizcaya","Pudi","Acute Bloody Diarrhea (ABD)","4","23"
"9","City Of Isabela","Aguada","Acute Bloody Diarrhea (ABD)","3","23"
"9","City Of Isabela","Kaumpurnah Zone I","Acute Bloody Diarrhea (ABD)","4","23"
"9","City Of Isabela","Lumbang","Acute Bloody Diarrhea (ABD)","3","23"
"9","City Of Isabela","Menzi","Acute Bloody Diarrhea (ABD)","4","23"
"9","City Of Isabela","Sumagdang","Acute Bloody Diarrhea (ABD)","5","23"
"9","City Of Isabela","Sunrise Village (Pob.)","Acute Bloody Diarrhea (ABD)","3","23"
"9","City Of Isabela","Tampalan","Acute Bloody Diarrhea (ABD)","9","23"
"9","Zamboanga Del Sur","Poblacion (Guipos)","Acute Bloody Diarrhea (ABD)","7","23"
"9","Zamboanga Del Sur","Poblacion","Acute Bloody Diarrhea (ABD)","4","23"
"9","Zamboanga Del Sur","Balangasan (Pob.)","Acute Bloody Diarrhea (ABD)","3","23"
"9","Zamboanga Del Sur","Poblacion","Acute Bloody Diarrhea (ABD)","13","23"
"10","Bukidnon","Bacusanon","Acute Bloody Diarrhea (ABD)","3","23"
"10","Bukidnon","Poblacion","Acute Bloody Diarrhea (ABD)","4","23"
"10","Bukidnon","Merangerang","Acute Bloody Diarrhea (ABD)","5","23"
"10","Bukidnon","Puntian","Acute Bloody Diarrhea (ABD)","3","23"
"10","Bukidnon","San Antonio","Acute Bloody Diarrhea (ABD)","3","23"
"10","Bukidnon","San Isidro","Acute Bloody Diarrhea (ABD)","4","23"
"4B","Palawan","Baldat","Acute Bloody Diarrhea (ABD)","3","23"
"4B","Palawan","Binudac","Acute Bloody Diarrhea (ABD)","3","23"
"4B","Palawan","Osmeña","Acute Bloody Diarrhea (ABD)","5","23"
"CAR","Baguio City","Bakakeng Central","Acute Bloody Diarrhea (ABD)","3","23"
"CAR","Ifugao","Bunhian","Acute Bloody Diarrhea (ABD)","3","23"
"CAR","Mountain Province","Bacarni","Acute Bloody Diarrhea (ABD)","4","23"
"CAR","Mountain Province","Bantay","Acute Bloody Diarrhea (ABD)","5","23"
"CAR","Mountain Province","Poblacion","Acute Bloody Diarrhea (ABD)","9","23"
"NCR","Quezon City","Payatas","Acute Bloody Diarrhea (ABD)","4","23"
