,Region,PHI,Barangay,Disease,No. of Cases,MW
0,NCR,MANILA CITY,BRGY.. 648,Measles,16,3
1,NCR,MANILA CITY,BRGY.. 647,Measles,3,3
2,NCR,MANILA CITY,BRGY.. 648,Measles,31,4
3,NCR,MANILA CITY,BRGY.. 647,Measles,31,4
4,IV-A,QUEZON,MANGGALANG-KILING,Chikungunya,4,4
5,XI,DAVAO CITY,BRGY.. 9-A,Chikungunya,5,4
6,NCR,LAS PIÑAS CITY,B. F. INTERNATIONAL VILLAGE,Leptospirosis,3,4
7,XI,DAVAO CITY,SASA,Leptospirosis,3,4
8,II,NUEVA VIZCAYA,MAGSAYSAY,SARI,3,4
9,II,NUEVA VIZCAYA,OSMEÑA,SARI,3,4
10,VIII,SAMAR,GUINSORONGAN,SARI,3,4
11,VIII,TACLOBAN CITY,BRGY.. 74,SARI,3,4
12,VIII,TACLOBAN CITY,BRGY.. 97,SARI,6,4
13,VIII,TACLOBAN CITY,BRGY.. 105,SARI,7,4
14,VIII,TACLOBAN CITY,BRGY.. 93,SARI,5,4
15,XI,DAVAO DEL NORTE,CEBULANO,SARI,3,4
16,XI,DAVAO CITY,BUHANGIN,SARI,4,4
17,XI,DAVAO CITY,MATINA CROSSING,SARI,4,4
18,XI,DAVAO CITY,AGDAO,SARI,3,4
19,XI,DAVAO CITY,BUCANA,SARI,3,4
20,CAR,MOUNTAIN PROVINCE,SADSADAN,SARI,3,4
21,CAR,MOUNTAIN PROVINCE,POBLACION,SARI,3,4
22,CAR,MOUNTAIN PROVINCE,BUNGA,SARI,3,4
23,CAR,BENGUET,BALILI,SARI,3,4
24,NCR,QUEZON CITY,PAYATAS,SARI,5,4
25,NCR,QUEZON CITY,TATALON,SARI,3,4
26,NIR,BACOLOD CITY,SINGCANG-AIRPORT,SARI,3,4
27,NIR,BACOLOD CITY,HANDUMANAN,SARI,6,4
28,NIR,BACOLOD CITY,BANAGO,SARI,3,4
29,NIR,BACOLOD CITY,VISTA ALEGRE,SARI,3,4
30,NIR,BACOLOD CITY,GRANADA,SARI,3,4
31,NIR,BACOLOD CITY,PAHANOCOY,SARI,3,4
32,NIR,BACOLOD CITY,CABUG,SARI,3,4
33,VII,CEBU,GUNTING,Typhoid,30,5
34,NCR,MANILA CITY,BRGY.. 648,Measles,38,5
35,NCR,MANILA CITY,BRGY.. 647,Measles,4,5
36,NCR,QUEZON CITY,DAMAYANG LAGI,Diptheria,2,5
37,IV-A,QUEZON,MANGGALANG-KILING,Chikungunya,4,5
38,XI,DAVAO CITY,BRGY.. 9-A,Chikungunya,6,5
39,V,SORSOGON,TABUNAN,Leptospirosis,3,5
40,VII,CEBU CITY,BASAK SAN NICOLAS,Rotavirus,8,5
41,VII,CEBU,GUNTING,Typhoid,33,5
42,NCR,TAGUIG CITY,CENTRAL,Influenze-like Illness,74,5
43,XI,DAVAO CITY,BUHANGIN,SARI,19,5
44,NIR,NEGORS OCCIDENTAL,WASHINGTON,Pertussis,2,6
